open,high,low,close,volume,rs_14,rsi_14
0.509347,0.509347,0.508064,0.508654,2331066300.8191056,,
0.508843,0.50988,0.508791,0.50988,2262941632.3969135,inf,100.0
0.510237,0.510783,0.510044,0.510044,2242189089.6503854,inf,100.0
0.510002,0.510071,0.508818,0.508818,2197593830.986553,0.9864583680127403,49.659151377010566
0.508758,0.509214,0.507737,0.507737,2017809141.5635839,0.5059916796275568,33.59857072734242
0.506689,0.506942,0.506514,0.506906,1831808186.9308496,0.3605926746470371,26.502617672888874
0.506397,0.508802,0.506397,0.508802,1715916232.5456026,1.0666501437088025,51.61251636886136
0.508358,0.508508,0.507501,0.507816,1537506010.005345,0.7643912821833593,43.32322937106431
0.507902,0.509136,0.507902,0.509136,1424069065.6998613,1.1729351965293906,53.97929944725463
0.509215,0.509606,0.50872,0.509606,1326566287.8977478,1.329591312869527,57.07401575222105
0.510046,0.510055,0.508658,0.508658,1265608450.2646973,0.9920214998614683,49.799738603747834
0.50886,0.508929,0.508004,0.508004,1229281852.6673343,0.8345957723267186,45.49207977669358
0.508117,0.509202,0.507872,0.509202,1181216064.3897316,1.1476491381639706,53.437459488615445
0.509209,0.509209,0.506793,0.507027,1145253116.9174182,0.7119074933883324,41.58562867081522
0.507186,0.507777,0.50668,0.507777,1124805130.2696104,0.8529034371925159,46.03064682554742
0.508316,0.508765,0.507183,0.507183,1110589709.5038817,0.761345072875317,43.22520808670701
0.507047,0.507289,0.506976,0.506976,1093426368.9357085,0.7318604861713442,42.258628337279156
0.507631,0.509393,0.507631,0.509393,1082274858.2765841,1.2188330474068816,54.93126437932382
0.50925,0.510312,0.509017,0.510312,1069822787.1248673,1.418234370498331,58.647515220208874
0.51093,0.512103,0.51093,0.511857,1068075524.4239367,1.7792497399189457,64.01906652587601
0.511031,0.511769,0.510738,0.511769,1054381631.1351463,1.7407028621604328,63.513009242755956
0.511903,0.511903,0.510242,0.510242,1027174879.201805,1.239067363730764,55.33854781690058
0.509347,0.510362,0.509347,0.510203,1006743616.1571406,1.2293233029121384,55.14333884664858
0.509309,0.51043,0.509309,0.509661,1007847733.141486,1.0998719597269306,52.37804879636371
0.50935,0.509935,0.509074,0.509935,1001245595.4871324,1.1572012290413494,53.643638500781144
0.510007,0.510007,0.50938,0.509654,996428525.4172299,1.0882942542964575,52.11402809050499
0.509747,0.510479,0.509747,0.5101,988291014.8626959,1.1900754431287723,54.339472499112354
0.51035,0.51035,0.509627,0.510143,975684966.3790787,1.2006432726694902,54.55874141805136
0.510637,0.516312,0.510637,0.515867,1007891095.0443413,2.7156049686885657,73.08648232449336
0.516385,0.517085,0.516051,0.517085,1011465809.7514726,3.06276842136446,75.38624168826844
0.51699,0.519048,0.516315,0.518096,961693755.8177031,3.3730975554540334,77.13291351680866
0.519974,0.521164,0.519974,0.521164,915378168.6723068,4.3872691271968165,81.43771962399927
0.520323,0.524277,0.520323,0.524277,886553230.7338727,5.495473556032817,84.6046636727321
0.52355,0.524678,0.523462,0.524604,878837062.5351685,5.620837658808043,84.89617097513865
0.524523,0.524523,0.522218,0.522218,756680750.1082495,2.831512804125642,73.90064835687788
0.52675,0.529184,0.52675,0.528793,902575417.9018945,4.304191674513082,81.14698598082245
0.527895,0.529569,0.525771,0.527627,917510765.180628,3.359364015776853,77.06087410042089
0.527032,0.527032,0.525189,0.525189,919326395.0332801,2.2481356105894705,69.21310807529615
0.525486,0.527658,0.525486,0.527658,912967024.1688048,2.6088955791516986,72.2906917624073
0.526494,0.526494,0.522937,0.52449,919747445.6363403,1.7410021314911268,63.51699298183354
0.524371,0.525573,0.524371,0.524986,913907800.5066993,1.7970928366235106,64.24859457982302
0.524188,0.524188,0.520073,0.521912,916970748.4071075,1.3075783974335704,56.66452757955377
0.520165,0.522385,0.520165,0.522385,914588304.0902958,1.3527158405983204,57.49592948098274
0.521152,0.523557,0.521152,0.523466,923427784.469311,1.4638087117733747,59.412433472555165
0.522827,0.52402,0.522268,0.522268,922117192.1453139,1.2924466691491032,56.378483588838556
0.52137,0.522258,0.520068,0.520098,936474229.1566947,1.0521735068700848,51.271176796099915
0.520866,0.521654,0.518963,0.520599,946948085.9987963,1.09839620662965,52.34455738908549
0.520932,0.521293,0.520476,0.520567,959134946.3146747,1.0949149772480253,52.26536585682131
0.521486,0.5223,0.51665,0.51665,982860569.0095654,0.7722667783303808,43.57508631166233
