date_price,open,high,low,close,volume,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj
2013-08-07,0.00587384,0.00587384,0.00448605,0.00448605,0.0,0.0,33.33333333333333,33.33333333333333,44.444444444444436,44.444444444444436,11.111111111111114,11.111111111111114
2013-08-11,0.00419553,0.00437208,0.00419553,0.00437208,0.0,10.519510698261952,25.728725788309536,25.728725788309536,38.20587155906613,38.20587155906613,0.7744342467963463,0.7744342467963463
2013-08-15,0.00439693,0.00439693,0.00332756,0.00332756,0.0,0.0,17.152483858873023,17.152483858873023,31.18807565900176,31.18807565900176,-10.918699741384458,-10.918699741384458
2013-08-19,0.0029013,0.00619764,0.0029013,0.00555976,0.0,80.64884083559343,38.31793618444649,38.31793618444649,33.56469583415,33.56469583415,47.824416885039454,47.824416885039454
2013-08-23,0.00606081,0.00633807,0.0051352,0.0051352,0.0,64.99998545145587,47.211952606782944,47.211952606782944,38.113781425027646,38.113781425027646,65.40829497029354,65.40829497029354
2013-08-27,0.00552798,0.0064659,0.00552798,0.00641998,0.0,98.71177691746618,64.37856071034402,64.37856071034402,46.86870785346643,46.86870785346643,99.3982664240992,99.3982664240992
2013-08-31,0.00634881,0.00634881,0.00582002,0.00586333,0.0,83.09571901475621,70.61761347848142,70.61761347848142,54.78500972847142,54.78500972847142,102.2828209785014,102.2828209785014
2013-09-03,0.00580064,0.00580064,0.00562712,0.00567312,0.0,77.7596364248443,72.9982877939357,72.9982877939357,60.85610241695951,60.85610241695951,97.28265854788809,97.28265854788809
2013-09-07,0.005577,0.006188,0.005577,0.006188,0.0,92.20389384503169,79.40015647763435,79.40015647763435,67.03745377051779,67.03745377051779,104.12556189186748,104.12556189186748
2013-09-11,0.00614238,0.00618881,0.00585396,0.00608146,0.0,89.21505919317735,82.67179071614868,82.67179071614868,72.24889941906142,72.24889941906142,103.5175733103232,103.5175733103232
2013-09-15,0.00642623,0.0065889,0.00634135,0.0064294,0.0,95.67469356763206,87.00609166664313,87.00609166664313,77.16796350158864,77.16796350158864,106.68234799675213,106.68234799675213
2013-09-19,0.00704318,0.0111217,0.00704318,0.0111217,0.0,100.0,91.33739444442875,91.33739444442875,81.89110714920201,81.89110714920201,110.22996903488223,110.22996903488223
2013-09-23,0.0101137,0.0104008,0.00974518,0.0100193,0.0,81.58523344191096,88.08667411025615,88.08667411025615,83.95629613622006,83.95629613622006,96.34743005832837,96.34743005832837
2013-09-27,0.010433,0.011676,0.010433,0.011676,,100.0,92.05778274017077,92.05778274017077,86.65679167087029,86.65679167087029,102.85976487877173,102.85976487877173
2013-09-30,0.0143469,0.0143469,0.0110409,0.0110409,0.0,62.30287688571134,82.13948078868428,82.13948078868428,85.15102137680827,85.15102137680827,76.11639961243628,76.11639961243628
2013-10-03,0.0119368,0.0119368,0.00840092,0.00840092,0.0,32.20013911219055,65.49303356318637,65.49303356318637,78.59835877226763,78.59835877226763,39.28238314502386,39.28238314502386
2013-10-07,0.00946689,0.0103753,0.0092795,0.00933073,0.0,42.80242648148783,57.929497869286855,57.929497869286855,71.70873847127403,71.70873847127403,30.37101666531251,30.37101666531251
2013-10-11,0.00971878,0.010089,0.00906698,0.00906698,0.0,37.831657824027964,51.23021785420055,51.23021785420055,64.88256493224954,64.88256493224954,23.92552369810258,23.92552369810258
2013-10-15,0.00891616,0.00891616,0.00798699,0.00798699,0.0,20.556239109118042,41.00555827250638,41.00555827250638,56.92356271233515,56.92356271233515,9.169549392848836,9.169549392848836
2013-10-19,0.00758473,0.00776709,0.00729291,0.00729291,0.0,3.4192165088475472,28.4767776846201,28.4767776846201,47.441301036430126,47.441301036430126,-9.452269018999957,-9.452269018999957
2013-10-23,0.00753032,0.00753032,0.00674171,0.0074298,0.0,9.0476372056451,22.000397524961762,22.000397524961762,38.96099986594067,38.96099986594067,-11.920807156996048,-11.920807156996048
